City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,71.92,114.08,55.47,52,100,4.16,overcast clouds
1,Castro,BR,-24.79,-50.01,61.23,81,0,4.36,clear sky
2,Gizo,SB,-8.1,156.84,83.7,77,20,9.91,few clouds
3,Busselton,AU,-33.65,115.33,39.0,98,91,7.7,overcast clouds
4,Hithadhoo,MV,-0.6,73.08,82.76,72,84,9.42,heavy intensity rain
5,Matara,LK,5.95,80.54,78.31,85,91,10.54,overcast clouds
6,Rikitea,PF,-23.12,-134.97,70.43,69,38,7.4,scattered clouds
7,Atuona,PF,-9.8,-139.03,79.2,78,15,19.73,few clouds
8,Paramonga,PE,-10.67,-77.83,60.82,86,21,10.07,few clouds
9,Ilulissat,GL,69.22,-51.1,44.6,84,100,8.05,overcast clouds
10,Severo-Kurilsk,RU,50.68,156.12,50.2,88,94,10.29,overcast clouds
11,San Javier,ES,37.81,-0.84,73.99,73,9,8.05,clear sky
12,Faanui,PF,-16.48,-151.75,77.9,77,46,23.91,scattered clouds
13,Airai,TL,-8.93,125.41,66.6,39,38,4.0,scattered clouds
14,Nara,JP,34.69,135.8,88.0,79,75,2.24,broken clouds
15,Saint-Philippe,RE,-21.36,55.77,69.8,73,38,9.17,scattered clouds
16,Mataura,NZ,-46.19,168.86,56.19,60,99,10.54,overcast clouds
17,Port Elizabeth,ZA,-33.92,25.57,46.4,87,75,6.93,light rain
18,Punta Arenas,CL,-53.15,-70.92,39.2,86,98,24.16,light rain
19,Vaini,TO,-21.2,-175.2,80.6,74,20,10.29,few clouds
20,Coulommiers,FR,48.81,3.08,55.99,93,100,11.12,overcast clouds
21,Chokurdakh,RU,70.63,147.92,41.94,83,100,4.32,overcast clouds
22,Barrow,US,71.29,-156.79,39.2,89,90,18.34,overcast clouds
23,Thompson,CA,55.74,-97.86,60.8,63,75,2.24,broken clouds
24,Saint-Augustin,CA,51.23,-58.65,56.82,61,66,8.14,broken clouds
25,Arraial Do Cabo,BR,-22.97,-42.03,73.4,73,0,16.11,clear sky
26,Nikolskoye,RU,59.7,30.79,55.4,93,75,8.95,light intensity shower rain
27,Bethel,US,41.37,-73.41,75.99,94,61,5.73,broken clouds
28,Itarema,BR,-2.92,-39.92,78.73,72,8,19.15,clear sky
29,Mar Del Plata,AR,-38.0,-57.56,44.6,56,75,5.82,broken clouds
30,Mahebourg,MU,-20.41,57.7,69.8,77,40,16.11,scattered clouds
31,Clyde River,CA,70.47,-68.59,48.2,81,1,10.29,clear sky
32,Albany,US,42.6,-73.97,72.0,89,54,1.01,broken clouds
33,Antsohihy,MG,-14.88,47.99,65.25,77,3,5.93,clear sky
34,Tvoroyri,FO,61.56,-6.81,42.8,93,87,6.17,overcast clouds
35,Te Anau,NZ,-45.42,167.72,51.28,75,100,7.29,overcast clouds
36,Lagoa,PT,39.05,-27.98,73.96,95,100,5.66,overcast clouds
37,Cidreira,BR,-30.18,-50.21,66.38,84,42,5.3,scattered clouds
38,Christchurch,NZ,-43.53,172.63,69.8,30,11,17.22,few clouds
39,Ushuaia,AR,-54.8,-68.3,33.8,94,90,14.99,snow
40,Edson,CA,53.58,-116.44,60.8,31,1,14.99,clear sky
41,Kyenjojo,UG,0.63,30.62,60.73,96,100,2.15,overcast clouds
42,Qaanaaq,GL,77.48,-69.36,32.61,86,0,4.43,clear sky
43,Constitucion,CL,-35.33,-72.42,47.59,62,2,11.41,clear sky
44,Bam,IR,29.11,58.36,72.59,18,13,11.5,few clouds
45,Praia,CV,14.92,-23.51,78.8,94,20,2.24,few clouds
46,Nikolayevka,RU,53.13,47.2,55.62,92,28,5.97,scattered clouds
47,Kiruna,SE,67.86,20.23,42.8,87,31,5.82,scattered clouds
48,Coihaique,CL,-45.58,-72.07,41.0,65,75,6.93,broken clouds
49,Kavaratti,IN,10.57,72.64,81.64,78,99,14.34,moderate rain
50,Chulman,RU,56.85,124.91,54.23,64,100,7.52,overcast clouds
51,Bluff,NZ,-46.6,168.33,53.74,74,88,32.59,overcast clouds
52,Marsh Harbour,BS,26.54,-77.06,84.25,71,100,4.52,very heavy rain
53,Bredasdorp,ZA,-34.53,20.04,42.8,87,77,10.29,light rain
54,Dawlatabad,AF,36.41,64.91,68.22,28,0,6.69,clear sky
55,Ribeira Grande,PT,38.52,-28.7,74.75,94,100,5.39,overcast clouds
56,Upernavik,GL,72.79,-56.15,40.06,73,0,4.92,clear sky
57,Comodoro Rivadavia,AR,-45.87,-67.5,48.2,36,14,17.22,few clouds
58,Monrovia,LR,6.3,-10.8,76.12,87,100,12.46,light rain
59,Victoria,HK,22.29,114.16,86.0,70,1,3.24,clear sky
60,Avarua,CK,-21.21,-159.78,78.8,74,15,16.11,few clouds
61,Saint George,US,37.1,-113.58,98.6,16,1,12.75,clear sky
62,Turayf,SA,31.67,38.66,80.6,22,0,9.17,clear sky
63,Yantal,RU,56.85,105.25,56.07,79,90,2.51,overcast clouds
64,Strelka,RU,58.07,93.03,52.83,90,38,2.93,scattered clouds
65,Nizwa,OM,22.93,57.53,85.05,51,71,0.29,broken clouds
66,Hobart,AU,-42.88,147.33,64.99,39,75,14.99,broken clouds
67,Krasnoselkup,RU,65.7,82.47,54.25,93,100,6.4,overcast clouds
68,Alice Springs,AU,-23.7,133.88,75.0,20,0,10.83,clear sky
69,Boyolangu,ID,-8.12,111.89,74.71,76,75,2.39,broken clouds
70,Bosaso,SO,11.28,49.18,91.31,45,81,14.32,broken clouds
71,Garowe,SO,8.41,48.48,77.47,61,70,21.81,broken clouds
72,Cherskiy,RU,68.75,161.3,44.19,79,100,2.84,overcast clouds
