City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Castro,BR,61.23,clear sky,-24.79,-50.01,CHACARA BAILLY
3,Busselton,AU,39.0,overcast clouds,-33.65,115.33,Observatory Guest House
8,Paramonga,PE,60.82,few clouds,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
9,Ilulissat,GL,44.6,overcast clouds,69.22,-51.1,Hotel Arctic
10,Severo-Kurilsk,RU,50.2,overcast clouds,50.68,156.12,Kak Doma
16,Mataura,NZ,56.19,overcast clouds,-46.19,168.86,Ellie's Villa
17,Port Elizabeth,ZA,46.4,light rain,-33.92,25.57,39 On Nile Guest House
18,Punta Arenas,CL,39.2,light rain,-53.15,-70.92,Hotel Dreams Del Estrecho
20,Coulommiers,FR,55.99,overcast clouds,48.81,3.08,Hôtel Première Classe Coulommiers
22,Barrow,US,39.2,overcast clouds,71.29,-156.79,King Eider Inn
23,Thompson,CA,60.8,broken clouds,55.74,-97.86,Burntwood Hotel
26,Nikolskoye,RU,55.4,light intensity shower rain,59.7,30.79,Tourist House - Sablino
29,Mar Del Plata,AR,44.6,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
31,Clyde River,CA,48.2,clear sky,70.47,-68.59,Qamaq Hotel
34,Tvoroyri,FO,42.8,overcast clouds,61.56,-6.81,Hilmarsstova a Hobbit Hole
35,Te Anau,NZ,51.28,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
40,Edson,CA,60.8,clear sky,53.58,-116.44,Holiday Inn Express & Suites Edson
41,Kyenjojo,UG,60.73,overcast clouds,0.63,30.62,Ivory View Hotel
43,Constitucion,CL,47.59,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
46,Nikolayevka,RU,55.62,scattered clouds,53.13,47.2,Отель Наталья
47,Kiruna,SE,42.8,scattered clouds,67.86,20.23,Camp Ripan
48,Coihaique,CL,41.0,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
50,Chulman,RU,54.23,overcast clouds,56.85,124.91,Gostinitsa
51,Bluff,NZ,53.74,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
53,Bredasdorp,ZA,42.8,light rain,-34.53,20.04,Bredasdorp Country Manor
56,Upernavik,GL,40.06,clear sky,72.79,-56.15,Gina's Guesthouse - Upernavik
57,Comodoro Rivadavia,AR,48.2,few clouds,-45.87,-67.5,Austral Hotel
64,Strelka,RU,52.83,scattered clouds,58.07,93.03,"Gostinitsa ""Angara"""
66,Hobart,AU,64.99,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
67,Krasnoselkup,RU,54.25,overcast clouds,65.7,82.47,Krasnosel'kupnefteprodukt
72,Cherskiy,RU,44.19,overcast clouds,68.75,161.3,Gostinitsa
73,Senaki,GE,62.6,clear sky,42.27,42.07,Maria Hotel
77,Lata,PT,62.01,clear sky,40.16,-8.33,Casa Maquia
78,Iquique,CL,59.0,overcast clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
79,Olga,RU,60.24,overcast clouds,43.74,135.29,Gostinitsa Rosmorport.
80,Ancud,CL,43.0,scattered clouds,-41.87,-73.82,Hotel Arena Gruesa
83,Rio Gallegos,AR,41.0,scattered clouds,-51.62,-69.22,Hotel Santa Cruz
86,Tuktoyaktuk,CA,46.4,scattered clouds,69.45,-133.04,End of The Road Ltd.
91,Rocha,UY,48.87,overcast clouds,-34.48,-54.33,Beleza Pura B&B
99,Yar-Sale,RU,39.27,broken clouds,66.83,70.83,Yalemd
100,Wladyslawowo,PL,53.6,fog,54.79,18.4,Gwiazda Morza Resort SPA&SPORT
104,Hovd,MN,51.46,broken clouds,48.01,91.64,Hotel Khovd
106,Tasiilaq,GL,44.6,light rain,65.61,-37.64,The Red House
107,Esso,RU,51.69,overcast clouds,55.93,158.7,Paramushir Tur
108,Sioux Lookout,CA,62.6,scattered clouds,50.1,-91.92,Knobby's Fly-In Camps
111,Tiksi,RU,44.76,clear sky,71.69,128.87,Arktika
112,Pevek,RU,39.4,overcast clouds,69.7,170.31,Severnoye Zoloto
114,Kuldiga,LV,62.6,scattered clouds,56.97,21.96,2 Baloži
115,Dunedin,NZ,53.01,scattered clouds,-45.87,170.5,Scenic Hotel Southern Cross
116,Wembley,AU,52.0,few clouds,-31.93,115.8,Quest on Rheola
117,Lebu,CL,45.63,clear sky,-37.62,-73.65,Hostal Las Lilas
126,Roald,NO,50.0,overcast clouds,62.58,6.13,Flem Cabins
128,East London,ZA,53.46,broken clouds,-33.02,27.91,Tu Casa
129,Namibe,AO,60.44,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
138,Khatanga,RU,51.66,overcast clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
139,Port Lincoln,AU,56.17,broken clouds,-34.73,135.87,Port Lincoln Hotel
146,Bonavista,CA,59.0,broken clouds,48.65,-53.11,Abbott's Bed & Breakfast
151,Klaksvik,FO,42.8,overcast clouds,62.23,-6.59,Geilin Bed & Breakfast
153,Balakhta,RU,51.57,broken clouds,55.38,91.6,"Brigantina, Baza Otdykha"
